category,current_avg_monthly_spend,spend_vs_cluster_benchmark,spend_volatility_normalised,income_bracket_encoded,category_type,months_consistently_present,realistic_reduction_pct
groceries,915.02,0.4324,0.2537,0,0.15,11,0.0458
transport,1449.81,1.0543,0.2537,0,0.4,8,0.2134
shopping,947.0,1.0878,0.2537,0,0.9,7,0.2729
entertainment,440.63,1.2277,0.2537,0,1.0,9,0.2089
utilities,2576.26,0.9864,0.2537,0,0.1,11,0.024
healthcare,2146.29,1.2402,0.2537,0,0.05,11,0.0316
investments,129.7,0.5615,0.2537,0,0.3,7,0.0539
fuel,934.56,1.3216,0.2537,0,0.45,11,0.2385
food,9350.4,1.1927,0.1955,0,0.5,10,0.1123
groceries,2117.47,0.77,0.1955,0,0.15,10,0.0101
transport,1074.08,0.5752,0.1955,0,0.4,10,0.1835
shopping,717.63,0.6117,0.1955,0,0.9,8,0.1824
entertainment,172.32,0.3596,0.1955,0,1.0,7,0.2829
utilities,3760.46,1.0749,0.1955,0,0.1,12,0.0
healthcare,1154.34,1.2134,0.1955,0,0.05,10,0.0572
investments,273.83,0.9206,0.1955,0,0.3,9,0.0606
fuel,1657.15,1.7863,0.1955,0,0.45,8,0.2731
food,10157.53,0.9766,0.1906,0,0.5,8,0.1545
groceries,3741.32,1.0722,0.1906,0,0.15,10,0.0585
transport,2786.22,1.2287,0.1906,0,0.4,8,0.1168
shopping,492.2,0.3429,0.1906,0,0.9,4,0.1504
entertainment,969.76,1.6386,0.1906,0,1.0,9,0.4356
utilities,5537.27,1.2857,0.1906,0,0.1,10,0.0393
healthcare,2106.51,0.7382,0.1906,0,0.05,11,0.0381
investments,146.49,0.3846,0.1906,0,0.3,8,0.04
fuel,925.81,0.794,0.1906,0,0.45,8,0.1173
food,8449.88,0.7966,0.1065,0,0.5,10,0.1569
groceries,3128.37,0.8791,0.1065,0,0.15,12,0.0324
transport,218.12,0.0943,0.1065,0,0.4,10,0.061
shopping,1036.81,0.7082,0.1065,0,0.9,6,0.208
entertainment,262.94,0.4356,0.1065,0,1.0,9,0.1505
utilities,6358.33,1.4476,0.1065,0,0.1,10,0.1135
healthcare,2748.9,0.9446,0.1065,0,0.05,11,0.0438
investments,149.4,0.3846,0.1065,0,0.3,10,0.0165
fuel,1622.45,1.3643,0.1065,0,0.45,8,0.0911
food,13349.93,1.4521,0.1678,0,0.5,9,0.1585
groceries,1465.77,0.4752,0.1678,0,0.15,11,0.0292
transport,1981.13,0.9884,0.1678,0,0.4,9,0.1167
shopping,1004.81,0.7918,0.1678,0,0.9,5,0.1558
entertainment,763.96,1.4604,0.1678,0,1.0,9,0.3353
utilities,3871.61,1.017,0.1678,0,0.1,10,0.0
healthcare,1672.95,0.6632,0.1678,0,0.05,10,0.0441
investments,344.43,1.0231,0.1678,0,0.3,8,0.031
fuel,145.02,0.1407,0.1678,0,0.45,7,0.1746
food,6995.04,0.8977,0.0891,0,0.5,7,0.1865
groceries,1997.33,0.7641,0.0891,0,0.15,10,0.0
transport,1632.98,0.9612,0.0891,0,0.4,7,0.0839
shopping,1402.52,1.3041,0.0891,0,0.9,5,0.2376
entertainment,496.04,1.1188,0.0891,0,1.0,7,0.2328
utilities,3121.1,0.9673,0.0891,0,0.1,10,0.0296
healthcare,2587.75,1.2105,0.0891,0,0.05,11,0.0513
investments,219.49,0.7692,0.0891,0,0.3,9,0.0
fuel,412.63,0.4724,0.0891,0,0.45,10,0.2081
food,8747.02,0.9139,0.2962,0,0.5,11,0.2317
groceries,3524.75,1.0498,0.2962,0,0.15,10,0.0631
transport,1392.03,0.6106,0.2962,0,0.4,8,0.1332
shopping,1691.76,1.1811,0.2962,0,0.9,9,0.3241
entertainment,977.02,1.67,0.2962,0,1.0,8,0.3137
utilities,2812.88,0.6586,0.2962,0,0.1,12,0.0006
healthcare,2124.07,1.8288,0.2962,0,0.05,10,0.0829
investments,544.71,1.5,0.2962,0,0.3,11,0.0901
fuel,1518.84,1.341,0.2962,0,0.45,9,0.1127
food,6155.66,0.9344,0.2764,0,0.5,10,0.1738
groceries,2238.09,1.0126,0.2764,0,0.15,10,0.0344
transport,1454.94,1.0129,0.2764,0,0.4,10,0.1345
shopping,785.0,0.8633,0.2764,0,0.9,5,0.2212
entertainment,475.08,1.2673,0.2764,0,1.0,4,0.3628
utilities,2648.22,0.9707,0.2764,0,0.1,12,0.0452
healthcare,2883.9,1.5955,0.2764,0,0.05,12,0.0993
investments,85.37,0.3538,0.2764,0,0.3,7,0.072
fuel,903.77,1.2236,0.2764,0,0.45,11,0.1864
food,12594.02,1.1842,0.1275,0,0.5,10,0.1821
groceries,2786.02,0.7809,0.1275,0,0.15,11,0.0146
transport,1273.18,0.5491,0.1275,0,0.4,7,0.1273
shopping,1707.56,1.1633,0.1275,0,0.9,7,0.2895
entertainment,152.78,0.2525,0.1275,0,1.0,4,0.138
utilities,4957.92,1.1259,0.1275,0,0.1,12,0.0331
healthcare,3531.96,1.2105,0.1275,0,0.05,10,0.0287
investments,371.47,0.9538,0.1275,0,0.3,8,0.0
fuel,524.25,0.4397,0.1275,0,0.45,10,0.172
food,11642.29,1.1082,0.2316,0,0.5,7,0.1452
groceries,3527.61,1.0008,0.2316,0,0.15,11,0.0458
transport,2166.28,0.9457,0.2316,0,0.4,8,0.229
shopping,1299.18,0.8959,0.2316,0,0.9,7,0.1787
entertainment,532.69,0.8911,0.2316,0,1.0,5,0.3575
utilities,4374.0,1.0054,0.2316,0,0.1,10,0.0
healthcare,2107.09,0.731,0.2316,0,0.05,11,0.0464
investments,177.56,0.4615,0.2316,0,0.3,11,0.0216
fuel,1689.82,1.4347,0.2316,0,0.45,8,0.2926
food,8157.28,0.9073,0.2538,0,0.5,8,0.2101
groceries,3130.21,1.0378,0.2538,0,0.15,11,0.0437
transport,2340.06,1.1938,0.2538,0,0.4,11,0.1783
shopping,1137.11,0.9163,0.2538,0,0.9,5,0.2471
entertainment,731.9,1.4307,0.2538,0,1.0,7,0.2448
utilities,4799.14,1.2891,0.2538,0,0.1,12,0.0761
healthcare,2752.86,1.116,0.2538,0,0.05,11,0.0743
investments,359.62,1.0923,0.2538,0,0.3,7,0.0376
fuel,648.33,0.6432,0.2538,0,0.45,9,0.0563
food,9391.08,1.0687,0.2043,0,0.5,7,0.1898
groceries,1987.62,0.6742,0.2043,0,0.15,12,0.0596
transport,1893.56,0.9884,0.2043,0,0.4,7,0.1401
shopping,1403.46,1.1571,0.2043,0,0.9,6,0.2921
entertainment,613.86,1.2277,0.2043,0,1.0,4,0.3452
utilities,3173.26,0.8721,0.2043,0,0.1,10,0.009
healthcare,2086.63,0.8655,0.2043,0,0.05,10,0.0285
investments,319.31,0.9923,0.2043,0,0.3,9,0.0575
fuel,690.59,0.701,0.2043,0,0.45,9,0.0945
food,6133.06,1.0885,0.2913,0,0.5,8,0.2042
groceries,2234.82,1.1822,0.2913,0,0.15,10,0.1247
transport,942.81,0.7674,0.2913,0,0.4,10,0.1598
shopping,755.52,0.9714,0.2913,0,0.9,8,0.1671
entertainment,303.16,0.9455,0.2913,0,1.0,9,0.2227
utilities,2988.75,1.281,0.2913,0,0.1,12,0.1193
healthcare,1396.76,0.9035,0.2913,0,0.05,11,0.0671
investments,152.37,0.7385,0.2913,0,0.3,8,0.026
fuel,371.41,0.5879,0.2913,0,0.45,9,0.1136
food,8813.95,0.9611,0.275,0,0.5,7,0.1906
groceries,4117.65,1.3384,0.275,0,0.15,10,0.0568
transport,2076.91,1.0388,0.275,0,0.4,8,0.143
shopping,749.13,0.5918,0.275,0,0.9,9,0.1532
entertainment,426.23,0.8168,0.275,0,1.0,5,0.2039
utilities,4533.55,1.1939,0.275,0,0.1,11,0.0973
healthcare,2588.39,1.0287,0.275,0,0.05,10,0.0
investments,242.82,0.7231,0.275,0,0.3,9,0.089
fuel,989.37,0.9623,0.275,0,0.45,8,0.1156
food,9487.96,0.9535,0.2471,0,0.5,8,0.0666
groceries,4207.21,1.2603,0.2471,0,0.15,11,0.0663
transport,753.99,0.3475,0.2471,0,0.4,9,0.1542
shopping,1334.2,0.9714,0.2471,0,0.9,5,0.2653
entertainment,454.08,0.802,0.2471,0,1.0,7,0.2629
utilities,4406.22,1.0694,0.2471,0,0.1,10,0.0798
healthcare,3021.57,1.1068,0.2471,0,0.05,11,0.0811
investments,361.58,0.9923,0.2471,0,0.3,9,0.0121
fuel,1877.97,1.6834,0.2471,0,0.45,9,0.2649
food,6623.37,0.7031,0.1739,0,0.5,8,0.0259
groceries,2016.73,0.6381,0.1739,0,0.15,11,0.0
transport,2122.87,1.0336,0.1739,0,0.4,9,0.1115
shopping,1626.65,1.251,0.1739,0,0.9,9,0.2799
entertainment,337.01,0.6287,0.1739,0,1.0,5,0.1309
utilities,5408.02,1.3864,0.1739,0,0.1,11,0.0119
healthcare,3661.96,1.4168,0.1739,0,0.05,10,0.0414
investments,501.53,1.4538,0.1739,0,0.3,9,0.0697
fuel,822.61,0.7789,0.1739,0,0.45,11,0.1631
food,9400.25,1.171,0.2333,0,0.5,9,0.2526
groceries,1426.88,0.5298,0.2333,0,0.15,12,0.0
transport,1815.83,1.0375,0.2333,0,0.4,11,0.144
shopping,133.42,0.1204,0.2333,0,0.9,8,0.2788
entertainment,113.07,0.2475,0.2333,0,1.0,9,0.4142
utilities,2935.18,0.883,0.2333,0,0.1,11,0.0417
healthcare,2107.54,0.9569,0.2333,0,0.05,11,0.0941
investments,113.07,0.3846,0.2333,0,0.3,10,0.0799
fuel,1139.7,1.2663,0.2333,0,0.45,7,0.1896
food,2365.71,0.643,0.2052,0,0.5,7,0.1167
groceries,2460.33,1.03,0.2052,0,0.15,11,0.05
transport,1834.86,0.9975,0.2052,0,0.4,8,0.0918
shopping,634.7,0.3015,0.2052,0,0.9,4,0.3778
entertainment,318.5,0.268,0.2052,0,1.0,9,0.2974
utilities,3325.84,1.6191,0.2052,0,0.1,10,0.0898
healthcare,2961.17,3.2236,0.2052,0,0.05,11,0.2092
investments,115.4,0.069,0.2052,0,0.3,7,0.0382
fuel,1620.22,1.2273,0.2052,0,0.45,11,0.2032
food,7642.78,1.0629,0.2259,0,0.5,10,0.1135
groceries,3260.63,1.2927,0.2259,0,0.15,10,0.0907
transport,1223.28,0.7143,0.2259,0,0.4,9,0.2561
shopping,762.11,0.7082,0.2259,0,0.9,6,0.3481
entertainment,593.24,1.3498,0.2259,0,1.0,4,0.3675
utilities,3431.67,1.0695,0.2259,0,0.1,12,0.0649
healthcare,907.17,1.0397,0.2259,0,0.05,11,0.0654
investments,190.53,0.6984,0.2259,0,0.3,9,0.0183
fuel,266.31,0.313,0.2259,0,0.45,9,0.0794
food,8950.61,1.4192,0.1785,0,0.5,8,0.1852
groceries,1466.13,0.6627,0.1785,0,0.15,11,0.0
transport,733.06,0.488,0.1785,0,0.4,8,0.1073
shopping,1095.8,1.161,0.1785,0,0.9,4,0.418
entertainment,311.46,0.8079,0.1785,0,1.0,9,0.2368
utilities,2191.6,0.7787,0.1785,0,0.1,12,0.0
healthcare,159.53,0.2084,0.1785,0,0.05,10,0.0429
investments,148.13,0.619,0.1785,0,0.3,8,0.0362
fuel,1198.35,1.6056,0.1785,0,0.45,9,0.1518
food,11170.5,1.3065,0.1522,0,0.5,8,0.1909
groceries,3344.2,1.115,0.1522,0,0.15,10,0.0527
transport,2373.63,1.1656,0.1522,0,0.4,10,0.1614
shopping,460.82,0.3602,0.1522,0,0.9,8,0.1639
entertainment,296.06,0.5665,0.1522,0,1.0,9,0.1639
utilities,3596.49,0.9426,0.1522,0,0.1,11,0.0
healthcare,177.64,0.1712,0.1522,0,0.05,10,0.0199
investments,205.96,0.6349,0.1522,0,0.3,11,0.0
fuel,368.15,0.3639,0.1522,0,0.45,7,0.1751
food,6570.59,1.2273,0.278,0,0.5,9,0.2665
groceries,1737.76,0.9253,0.278,0,0.15,11,0.0491
transport,1023.63,0.8028,0.278,0,0.4,11,0.0962
shopping,504.56,0.6298,0.278,0,0.9,8,0.2144
entertainment,80.6,0.2463,0.278,0,1.0,8,0.3607
utilities,2248.77,0.9413,0.278,0,0.1,12,0.0962
healthcare,631.91,0.9727,0.278,0,0.05,10,0.0365
investments,172.49,0.8492,0.278,0,0.3,8,0.0191
fuel,461.04,0.7277,0.278,0,0.45,7,0.1134
food,8090.4,1.1572,0.1445,0,0.5,8,0.2368
groceries,2347.33,0.9571,0.1445,0,0.15,12,0.0172
transport,1616.82,0.9709,0.1445,0,0.4,9,0.0797
shopping,1248.4,1.1932,0.1445,0,0.9,7,0.3548
entertainment,837.88,1.9606,0.1445,0,1.0,6,0.2831
utilities,3667.31,1.1754,0.1445,0,0.1,10,0.0271
healthcare,633.67,0.7469,0.1445,0,0.05,12,0.0037
investments,105.26,0.3968,0.1445,0,0.3,11,0.0211
fuel,183.16,0.2214,0.1445,0,0.45,9,0.1577
food,5460.95,1.0245,0.2601,0,0.5,11,0.0975
groceries,1861.86,1.0411,0.2601,0,0.15,12,0.0322
transport,692.19,0.5956,0.2601,0,0.4,9,0.1748
shopping,1096.09,1.4898,0.2601,0,0.9,8,0.2858
entertainment,400.9,1.3218,0.2601,0,1.0,4,0.3646
utilities,2414.41,1.0939,0.2601,0,0.1,10,0.0606
healthcare,1746.24,1.194,0.2601,0,0.05,12,0.0496
investments,75.07,0.3846,0.2601,0,0.3,8,0.0448
fuel,695.19,1.1633,0.2601,0,0.45,9,0.263
food,8786.26,1.1673,0.151,0,0.5,11,0.2079
groceries,1859.45,0.7364,0.151,0,0.15,11,0.049
transport,1787.36,1.0891,0.151,0,0.4,9,0.199
shopping,882.02,0.849,0.151,0,0.9,4,0.1404
entertainment,659.39,1.5396,0.151,0,1.0,5,0.2879
utilities,3727.38,1.1959,0.151,0,0.1,12,0.049
healthcare,1668.63,0.808,0.151,0,0.05,10,0.0026
investments,241.71,0.8769,0.151,0,0.3,9,0.0061
fuel,527.94,0.6256,0.151,0,0.45,10,0.1344
food,9880.91,1.0581,0.3309,0,0.5,8,0.2188
groceries,2825.93,0.8627,0.3309,0,0.15,12,0.0164
transport,3177.41,1.4286,0.3309,0,0.4,7,0.1753
shopping,1003.84,0.7183,0.3309,0,0.9,8,0.2139
entertainment,598.93,1.0493,0.3309,0,1.0,7,0.371
utilities,4116.58,0.9879,0.3309,0,0.1,11,0.0299
healthcare,930.73,0.8213,0.3309,0,0.05,12,0.0437
investments,492.08,1.3889,0.3309,0,0.3,10,0.0806
fuel,373.98,0.3384,0.3309,0,0.45,11,0.1395
food,10170.92,1.013,0.1399,0,0.5,9,0.1333
groceries,4222.8,1.2536,0.1399,0,0.15,12,0.0699
transport,2446.57,1.1176,0.1399,0,0.4,8,0.1197
shopping,1267.12,0.9143,0.1399,0,0.9,5,0.1853
entertainment,540.22,0.9455,0.1399,0,1.0,8,0.2269
utilities,3795.71,0.9129,0.1399,0,0.1,10,0.0063
healthcare,3812.68,1.384,0.1399,0,0.05,10,0.0
investments,214.96,0.5846,0.1399,0,0.3,9,0.0
fuel,398.8,0.3543,0.1399,0,0.45,7,0.1766
food,5450.09,0.9149,0.219,0,0.5,9,0.2121
groceries,1835.71,0.9186,0.219,0,0.15,12,0.0435
transport,1584.02,1.2196,0.219,0,0.4,8,0.1386
shopping,563.8,0.6857,0.219,0,0.9,4,0.1888
entertainment,364.12,1.0743,0.219,0,1.0,7,0.1932
utilities,2357.57,0.9558,0.219,0,0.1,12,0.0289
healthcare,2110.9,1.2916,0.219,0,0.05,11,0.0569
investments,83.9,0.3846,0.219,0,0.3,10,0.0222
fuel,812.14,1.2161,0.219,0,0.45,11,0.1653
food,13035.15,1.3259,0.2161,0,0.5,8,0.1137
groceries,3118.25,0.9454,0.2161,0,0.15,11,0.0476
transport,2364.99,1.1034,0.2161,0,0.4,8,0.2669
shopping,1052.34,0.7755,0.2161,0,0.9,8,0.285
entertainment,758.79,1.3564,0.2161,0,1.0,6,0.4123
utilities,3040.7,0.7469,0.2161,0,0.1,11,0.0275
healthcare,1700.36,0.6304,0.2161,0,0.05,10,0.0167
investments,138.47,0.3846,0.2161,0,0.3,11,0.0574
fuel,2027.14,1.8392,0.2161,0,0.45,7,0.1931
food,8355.34,1.1069,0.2857,0,0.5,7,0.1508
groceries,2463.87,0.9305,0.2857,0,0.15,10,0.035
transport,2518.42,1.4008,0.2857,0,0.4,7,0.2312
shopping,1350.13,1.1952,0.2857,0,0.9,6,0.3038
entertainment,388.67,0.8424,0.2857,0,1.0,8,0.368
utilities,3707.17,1.1005,0.2857,0,0.1,11,0.0858
healthcare,1006.91,1.0993,0.2857,0,0.05,12,0.0311
investments,113.65,0.3968,0.2857,0,0.3,8,0.069
fuel,1334.22,1.4936,0.2857,0,0.45,8,0.2185
food,6426.51,1.002,0.1772,0,0.5,9,0.0537
groceries,1795.88,0.8346,0.1772,0,0.15,12,0.0
transport,1727.23,1.2351,0.1772,0,0.4,11,0.0973
shopping,560.08,0.6327,0.1772,0,0.9,4,0.1848
entertainment,256.55,0.703,0.1772,0,1.0,4,0.1467
utilities,2558.32,0.9633,0.1772,0,0.1,10,0.0
healthcare,2366.81,1.345,0.1772,0,0.05,11,0.0216
investments,204.16,0.8692,0.1772,0,0.3,9,0.0223
fuel,1214.12,1.6884,0.1772,0,0.45,7,0.1715
food,3977.4,0.6808,0.1672,0,0.5,11,0.1327
groceries,2520.84,1.23,0.1672,0,0.15,12,0.0339
transport,1614.88,1.1606,0.1672,0,0.4,8,0.1466
shopping,1419.62,1.6237,0.1672,0,0.9,4,0.3555
entertainment,504.87,1.4138,0.1672,0,1.0,4,0.2281
utilities,2948.31,1.1309,0.1672,0,0.1,11,0.0009
healthcare,1328.15,1.8734,0.1672,0,0.05,10,0.0794
investments,87.96,0.3968,0.1672,0,0.3,9,0.0336
fuel,496.08,0.7176,0.1672,0,0.45,9,0.142
food,7918.84,1.3427,0.1589,0,0.5,7,0.1555
groceries,2727.82,1.3185,0.1589,0,0.15,11,0.0055
transport,1067.33,0.7598,0.1589,0,0.4,7,0.0534
shopping,964.33,1.0926,0.1589,0,0.9,4,0.13
entertainment,127.87,0.3547,0.1589,0,1.0,6,0.2522
utilities,3621.1,1.3758,0.1589,0,0.1,10,0.0579
healthcare,88.8,0.1241,0.1589,0,0.05,11,0.0
investments,243.3,1.0873,0.1589,0,0.3,9,0.0082
fuel,618.02,0.8855,0.1589,0,0.45,9,0.1388
food,7072.47,1.0823,0.1067,0,0.5,7,0.0734
groceries,2054.37,0.937,0.1067,0,0.15,10,0.0
transport,903.85,0.6344,0.1067,0,0.4,10,0.0887
shopping,960.91,1.0653,0.1067,0,0.9,8,0.1732
entertainment,165.67,0.4455,0.1067,0,1.0,8,0.1622
utilities,4348.04,1.6068,0.1067,0,0.1,10,0.1469
healthcare,1483.71,0.8275,0.1067,0,0.05,11,0.0063
investments,231.94,0.9692,0.1067,0,0.3,9,0.0112
fuel,675.58,0.9221,0.1067,0,0.45,10,0.0522
food,9320.08,1.0349,0.3565,0,0.5,10,0.1735
groceries,1823.93,0.6037,0.3565,0,0.15,11,0.0629
transport,1763.05,0.8979,0.3565,0,0.4,9,0.169
shopping,1253.16,1.0082,0.3565,0,0.9,6,0.1969
entertainment,859.96,1.6782,0.3565,0,1.0,6,0.3319
utilities,5240.96,1.4054,0.3565,0,0.1,11,0.1036
healthcare,2245.04,0.9086,0.3565,0,0.05,11,0.0627
investments,126.84,0.3846,0.3565,0,0.3,11,0.0243
fuel,804.15,0.7965,0.3565,0,0.45,8,0.0796
food,5910.7,0.9868,0.333,0,0.5,8,0.1933
groceries,1781.82,0.8866,0.333,0,0.15,10,0.0155
transport,1393.73,1.0672,0.333,0,0.4,9,0.0927
shopping,1329.61,1.6082,0.333,0,0.9,6,0.477
entertainment,264.91,0.7772,0.333,0,1.0,7,0.2291
utilities,2772.27,1.1177,0.333,0,0.1,11,0.1158
healthcare,1748.07,1.0637,0.333,0,0.05,12,0.0359
investments,79.3,0.3615,0.333,0,0.3,9,0.0446
fuel,749.17,1.1156,0.333,0,0.45,9,0.1224
food,6195.52,1.1423,0.1801,0,0.5,7,0.2687
groceries,1179.52,0.6482,0.1801,0,0.15,10,0.0
transport,270.43,0.2287,0.1801,0,0.4,11,0.1894
shopping,669.21,0.8939,0.1801,0,0.9,6,0.2141
entertainment,212.37,0.6881,0.1801,0,1.0,6,0.3366
utilities,2391.12,1.0646,0.1801,0,0.1,10,0.0362
healthcare,1781.5,1.1971,0.1801,0,0.05,12,0.046
investments,126.81,0.6385,0.1801,0,0.3,8,0.0562
fuel,1100.07,1.809,0.1801,0,0.45,11,0.1757
food,7650.26,1.1935,0.2418,0,0.5,9,0.2353
groceries,2533.23,1.178,0.2418,0,0.15,10,0.084
transport,1536.55,1.0995,0.2418,0,0.4,10,0.1749
shopping,1484.19,1.6776,0.2418,0,0.9,7,0.4063
entertainment,520.01,1.4257,0.2418,0,1.0,7,0.3734
utilities,1764.06,0.6646,0.2418,0,0.1,10,0.0583
healthcare,933.49,0.5308,0.2418,0,0.05,11,0.0198
investments,83.06,0.3538,0.2418,0,0.3,9,0.0495
fuel,648.2,0.902,0.2418,0,0.45,7,0.0791
food,5968.46,0.8609,0.112,0,0.5,7,0.1241
groceries,2463.37,1.0129,0.112,0,0.15,12,0.0
transport,862.18,0.5221,0.112,0,0.4,7,0.1217
shopping,607.49,0.5855,0.112,0,0.9,4,0.2854
entertainment,457.19,1.0788,0.112,0,1.0,7,0.2667
utilities,3507.17,1.1336,0.112,0,0.1,10,0.0308
healthcare,1384.08,1.6452,0.112,0,0.05,11,0.024
investments,104.38,0.3968,0.112,0,0.3,8,0.015
fuel,814.17,0.9924,0.112,0,0.45,7,0.1494
food,9126.2,1.2752,0.071,0,0.5,7,0.1791
groceries,1900.66,0.7571,0.071,0,0.15,11,0.0495
transport,2032.12,1.1922,0.071,0,0.4,11,0.2678
shopping,1012.83,0.9457,0.071,0,0.9,7,0.2395
entertainment,107.75,0.2463,0.071,0,1.0,8,0.3439
utilities,3980.19,1.2463,0.071,0,0.1,11,0.0151
healthcare,107.75,0.1241,0.071,0,0.05,10,0.0001
investments,189.64,0.6984,0.071,0,0.3,8,0.0
fuel,859.82,1.0153,0.071,0,0.45,11,0.1675
food,10058.4,1.2358,0.2382,0,0.5,7,0.3155
groceries,3443.75,1.2611,0.2382,0,0.15,11,0.0568
transport,1254.15,0.7067,0.2382,0,0.4,10,0.1003
shopping,128.4,0.1143,0.2382,0,0.9,6,0.1656
entertainment,683.25,1.4752,0.2382,0,1.0,5,0.3006
utilities,2205.65,0.6544,0.2382,0,0.1,10,0.0581
healthcare,2194.18,0.9825,0.2382,0,0.05,12,0.0142
investments,201.76,0.6769,0.2382,0,0.3,8,0.0836
fuel,1199.12,1.3141,0.2382,0,0.45,9,0.2682
food,9131.92,1.0726,0.285,0,0.5,10,0.0608
groceries,3284.11,1.0996,0.285,0,0.15,10,0.0466
transport,2107.37,1.0392,0.285,0,0.4,10,0.0802
shopping,1422.86,1.1167,0.285,0,0.9,8,0.4084
entertainment,540.94,1.0394,0.285,0,1.0,7,0.2256
utilities,3376.4,0.8887,0.285,0,0.1,12,0.0273
healthcare,1745.88,1.6898,0.285,0,0.05,10,0.136
investments,128.19,0.3968,0.285,0,0.3,10,0.0201
fuel,335.85,0.3333,0.285,0,0.45,8,0.0123
food,6944.82,0.813,0.2466,0,0.5,8,0.2371
groceries,2158.04,0.7202,0.2466,0,0.15,10,0.0461
transport,1373.53,0.6751,0.2466,0,0.4,11,0.1845
shopping,1103.45,0.8632,0.2466,0,0.9,4,0.2573
entertainment,740.78,1.4187,0.2466,0,1.0,9,0.2383
utilities,2605.59,0.6835,0.2466,0,0.1,12,0.0472
healthcare,2039.72,1.9677,0.2466,0,0.05,11,0.0978
investments,177.48,0.5476,0.2466,0,0.3,7,0.0046
fuel,128.61,0.1272,0.2466,0,0.45,8,0.1288
food,9206.77,1.1386,0.2718,0,0.5,10,0.1908
groceries,1583.06,0.5835,0.2718,0,0.15,10,0.0466
transport,1792.61,1.0168,0.2718,0,0.4,7,0.1489
shopping,1669.61,1.4959,0.2718,0,0.9,4,0.4635
entertainment,266.5,0.5792,0.2718,0,1.0,8,0.2576
utilities,2685.5,0.802,0.2718,0,0.1,10,0.0504
healthcare,3298.22,1.4867,0.2718,0,0.05,10,0.0728
investments,184.5,0.6231,0.2718,0,0.3,9,0.0324
fuel,952.11,1.0503,0.2718,0,0.45,9,0.1083
food,4587.26,0.7721,0.2107,0,0.5,9,0.1071
groceries,3904.44,1.9589,0.2107,0,0.15,11,0.1491
transport,1389.06,1.0724,0.2107,0,0.4,7,0.0917
shopping,1087.82,1.3265,0.2107,0,0.9,5,0.3403
entertainment,399.98,1.1832,0.2107,0,1.0,4,0.335
utilities,2202.42,0.8952,0.2107,0,0.1,12,0.0243
healthcare,1576.5,0.9671,0.2107,0,0.05,10,0.0368
investments,113.8,0.5231,0.2107,0,0.3,7,0.0963
fuel,816.7,1.2261,0.2107,0,0.45,11,0.2592
food,7751.95,1.3583,0.2552,0,0.5,11,0.2236
groceries,1533.67,0.801,0.2552,0,0.15,10,0.0358
transport,1348.79,1.084,0.2552,0,0.4,10,0.2209
shopping,710.57,0.902,0.2552,0,0.9,8,0.3539
entertainment,254.0,0.7822,0.2552,0,1.0,5,0.3609
utilities,1792.5,0.7585,0.2552,0,0.1,12,0.0421
healthcare,919.56,0.5873,0.2552,0,0.05,10,0.0168
investments,485.5,2.3231,0.2552,0,0.3,10,0.1409
fuel,475.86,0.7437,0.2552,0,0.45,9,0.1578
food,10067.04,1.2268,0.2798,0,0.5,10,0.1955
groceries,2279.24,0.8279,0.2798,0,0.15,11,0.0521
transport,1759.13,0.9832,0.2798,0,0.4,10,0.2101
shopping,1805.36,1.5939,0.2798,0,0.9,8,0.3227
entertainment,607.95,1.302,0.2798,0,1.0,8,0.3905
utilities,3881.19,1.1422,0.2798,0,0.1,11,0.1203
healthcare,1611.19,0.7156,0.2798,0,0.05,12,0.0227
investments,196.49,0.6538,0.2798,0,0.3,7,0.0
fuel,115.58,0.1256,0.2798,0,0.45,11,0.1162
food,7061.86,0.8476,0.1911,0,0.5,9,0.1671
groceries,2132.35,0.7296,0.1911,0,0.15,12,0.0567
transport,2107.27,1.0619,0.1911,0,0.4,7,0.2329
shopping,1645.68,1.3199,0.1911,0,0.9,4,0.2711
entertainment,619.64,1.2167,0.1911,0,1.0,8,0.2798
utilities,4124.22,1.1093,0.1911,0,0.1,10,0.0807
healthcare,1209.17,1.196,0.1911,0,0.05,12,0.0918
investments,260.9,0.8254,0.1911,0,0.3,9,0.0429
fuel,551.9,0.5598,0.1911,0,0.45,9,0.2172
food,5944.58,0.7389,0.2339,0,0.5,7,0.1236
groceries,2474.83,0.9169,0.2339,0,0.15,12,0.098
transport,2477.1,1.4121,0.2339,0,0.4,8,0.1865
shopping,1482.18,1.3347,0.2339,0,0.9,8,0.2659
entertainment,256.1,0.5594,0.2339,0,1.0,8,0.2326
utilities,3648.79,1.0952,0.2339,0,0.1,12,0.0722
healthcare,1978.51,0.8963,0.2339,0,0.05,12,0.0076
investments,113.32,0.3846,0.2339,0,0.3,9,0.0513
fuel,113.32,0.1256,0.2339,0,0.45,9,0.2499
food,9895.27,1.0346,0.2342,0,0.5,9,0.1338
groceries,3327.16,1.0369,0.2342,0,0.15,12,0.0801
transport,2556.66,1.2261,0.2342,0,0.4,9,0.1245
shopping,212.83,0.1612,0.2342,0,0.9,7,0.4212
entertainment,859.4,1.5792,0.2342,0,1.0,6,0.3994
utilities,4768.48,1.2041,0.2342,0,0.1,12,0.0259
healthcare,2634.79,1.0041,0.2342,0,0.05,10,0.1024
investments,681.6,1.9462,0.2342,0,0.3,9,0.1034
fuel,818.99,0.7638,0.2342,0,0.45,11,0.2349
